metric,baseline_all_strong,routed_models
n_runs,98,98
total_input_tokens,141967,145599
total_output_tokens,56014,40013
total_tokens,197981,185612
strong_model_calls,165,78
total_model_calls,170,172
estimated_cost_usd,0.0210534184,0.0159401144
e2e_latency_mean_ms,9338.124336734725,5754.0495112247
e2e_latency_p50_ms,6600.832349999109,3962.21240000159
e2e_latency_p95_ms,27871.61711000116,17256.208800001677
grounded_rate,160/207,160/207
money_grounded_rate,129/159,128/152
task_completion,98/98,98/98
critic_repair_success,15/78,15/78
tool_success_rate,113/121,124/131
