case_id,category,config,repeat,passed,task_completed,grounded_rate,money_grounded_rate,source_coverage,constraints_passed,constraints_total,tools_ok,tools_called,route,latency_ms,cost_usd,error
A1,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,4,4,True,search_properties,search_properties,39865.7421,0.0000,
A2,A_retrieval,routed_models,1,False,True,1.0000,1.0000,1.0000,3,4,True,search_properties,search_properties,11410.6023,0.0000,
A3,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,4,4,True,search_properties,search_properties,9433.4446,0.0000,
A4,A_retrieval,routed_models,1,True,True,,,,2,2,True,search_properties,search_properties,979.1373,0.0000,
A5,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,4,4,True,search_properties,search_properties,10088.9319,0.0002,
A6,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,3,3,True,search_properties,search_properties,6320.3178,0.0001,
A7,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,4,4,True,search_properties,search_properties,1090.6906,0.0000,
B1,B_money,routed_models,1,True,True,0.7500,0.7500,0.0000,2,2,True,,direct_answer,5226.8154,0.0001,
B2,B_money,routed_models,1,True,True,0.8000,0.8000,0.8000,2,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,10404.2199,0.0002,
B3,B_money,routed_models,1,True,True,0.5714,0.5714,0.5714,2,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,24107.5522,0.0005,
B4,B_money,routed_models,1,True,True,0.6250,0.6250,0.2500,2,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,28216.5658,0.0007,
B5,B_money,routed_models,1,False,True,0.0000,0.0000,0.0000,0,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,14372.4239,0.0003,
B6,B_money,routed_models,1,True,True,1.0000,1.0000,0.6667,2,2,True,get_property_details,get_property_details,8337.8488,0.0002,
B7,B_money,routed_models,1,True,True,1.0000,1.0000,0.8333,2,2,True,web_search|web_search|web_search|web_search|web_search,multi_search,10568.4554,0.0003,
C1,C_commute,routed_models,1,True,True,1.0000,,1.0000,3,3,True,calculate_commute,calculate_commute,2830.0647,0.0001,
C2,C_commute,routed_models,1,True,True,1.0000,,1.0000,4,4,True,calculate_commute,calculate_commute,5562.2225,0.0001,
C3,C_commute,routed_models,1,False,True,,,,0,2,True,,clarification,691.5096,0.0000,
C4,C_commute,routed_models,1,False,True,0.0000,,0.0000,1,2,True,,reasoning_property,3279.0419,0.0001,
