case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
CR1,cold_resilience,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,11228.7541,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,1,True,True,True,3,1,search_properties,,search_properties,9573.1731,0.0003,0.0000,,False,,
CR3,cold_resilience,fc_loop,1,True,False,True,1,1,check_safety|get_weather,,check_safety|search_nearby_pois|get_weather,27029.9349,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,1,True,False,True,5,4,search_properties|compare_or_rank_areas|web_search|web_search,,search_properties|compare_or_rank_areas|web_search|web_search,22480.3191,0.0007,0.0000,,True,,
CR5,cold_resilience,fc_loop,1,True,False,True,3,1,search_properties,,search_properties,15213.4591,0.0005,0.0000,,False,,
CR1,cold_resilience,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,11136.0755,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,2,True,True,True,3,1,search_properties,,search_properties,12648.7156,0.0003,0.0000,,False,,
CR3,cold_resilience,fc_loop,2,True,True,True,2,2,check_safety|web_search|get_transport_info,,check_safety|web_search|search_nearby_pois|get_transport_info,27027.7150,0.0003,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,2,True,False,True,5,4,search_properties|compare_or_rank_areas|web_search|web_search|web_search,,search_properties|compare_or_rank_areas|web_search|web_search|web_search,23913.1119,0.0007,0.0000,,True,,
CR5,cold_resilience,fc_loop,2,True,False,True,2,2,search_properties|check_safety|calculate_commute_cost,,search_properties|check_safety|search_nearby_pois|calculate_commute_cost,27035.6992,0.0004,0.0000,search_nearby_pois:batch,True,,
CR1,cold_resilience,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,9310.7550,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,3,True,True,True,3,1,search_properties,,search_properties,9941.7491,0.0003,0.0000,,False,,
CR3,cold_resilience,fc_loop,3,True,False,True,1,1,check_safety|get_weather|get_transport_info,,check_safety|get_weather|search_nearby_pois|get_transport_info,27032.6346,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,3,True,False,True,4,3,compare_or_rank_areas|search_properties|web_search|web_search,compare_or_rank_areas,compare_or_rank_areas|search_properties|web_search|web_search|compare_or_rank_areas,27032.0534,0.0005,0.0000,,True,,
CR5,cold_resilience,fc_loop,3,True,False,True,3,1,search_properties,,search_properties,18111.2031,0.0006,0.0000,,False,,
