case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,9927.9192,0.0002,,
H2,H_guard_regression,fc_loop,1,False,False,True,2,0,,,search_properties,24095.2150,0.0001,must_call_tool,
H3,H_guard_regression,fc_loop,1,True,False,True,4,2,web_search|web_search,,web_search|web_search,12700.4134,0.0003,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,9517.8454,0.0004,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,14834.1270,0.0004,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3426.8391,0.0001,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3667.2570,0.0001,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1247.6136,0.0000,,
H9,H_guard_regression,fc_loop,1,True,False,True,3,2,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,6149.4457,0.0002,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,22.3862,0.0000,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,22.7102,0.0000,,
H12,H_guard_regression,fc_loop,1,True,True,True,2,1,recall_memory,,recall_memory,3121.4942,0.0001,,
H13,H_guard_regression,fc_loop,1,True,False,True,4,2,search_properties|get_property_details,remember,search_properties|get_property_details|remember,17640.6745,0.0006,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1514.1666,0.0000,,
H1,H_guard_regression,fc_loop,2,True,True,True,3,2,compare_or_rank_areas|search_properties,,compare_or_rank_areas|search_properties,20097.9539,0.0007,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,4650.6992,0.0004,,
H3,H_guard_regression,fc_loop,2,True,False,True,4,2,web_search|web_search,,web_search|web_search,13058.7600,0.0003,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,4221.1721,0.0003,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5207.3032,0.0004,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3209.2298,0.0002,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3523.3617,0.0001,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1212.2232,0.0000,,
H9,H_guard_regression,fc_loop,2,True,False,True,3,2,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,5975.7837,0.0002,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,25.1115,0.0000,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,26.0147,0.0000,,
H12,H_guard_regression,fc_loop,2,True,True,True,2,1,recall_memory,,recall_memory,2938.3420,0.0001,,
H13,H_guard_regression,fc_loop,2,True,True,True,3,1,search_properties,remember,search_properties|remember,5489.9924,0.0013,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,2033.3520,0.0001,,
H1,H_guard_regression,fc_loop,3,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,7975.6634,0.0003,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4323.1928,0.0004,,
H3,H_guard_regression,fc_loop,3,True,False,True,7,5,web_search|web_search|web_search|web_search|web_search,,web_search|web_search|web_search|web_search|web_search,22416.5788,0.0005,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,3846.4654,0.0001,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4836.2954,0.0002,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3645.4562,0.0001,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3432.9486,0.0001,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1243.2192,0.0000,,
H9,H_guard_regression,fc_loop,3,True,False,True,3,2,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,6183.4382,0.0002,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,20.7870,0.0000,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,42.5697,0.0000,,
H12,H_guard_regression,fc_loop,3,True,True,True,2,1,recall_memory,,recall_memory,2872.9985,0.0001,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,5213.6060,0.0005,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1453.7847,0.0000,,
