case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,12384.7147,0.0001,,,False,,
H2,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,5998.1735,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,1,True,False,True,4,2,web_search|web_search,,web_search|web_search,12453.0762,0.0003,,,False,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,7338.3252,0.0005,1.0000,,False,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6355.6134,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3501.8020,0.0002,,,False,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3705.2681,0.0001,,,False,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1120.0738,0.0000,,,False,,
H9,H_guard_regression,fc_loop,1,True,True,True,2,1,get_transport_info|get_transport_info,,get_transport_info|get_transport_info,7181.8691,0.0003,,,False,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,34.3078,0.0000,,,False,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,27.6929,0.0000,,,False,,
H12,H_guard_regression,fc_loop,1,True,False,True,3,1,search_properties,,search_properties,8402.5301,0.0004,1.0000,,False,,
H13,H_guard_regression,fc_loop,1,True,True,True,3,1,search_properties,remember,search_properties|remember,4308.7385,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1895.8250,0.0001,,,False,,
H1,H_guard_regression,fc_loop,2,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,5073.7265,0.0001,,,False,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,4758.7703,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,2,True,False,True,4,2,web_search|web_search,,web_search|web_search,12980.7288,0.0003,,,False,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,7146.1186,0.0003,1.0000,,False,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,4331.8306,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety|check_safety,,check_safety|check_safety,4691.9527,0.0004,,,False,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3364.7453,0.0002,,,False,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1074.2989,0.0000,,,False,,
H9,H_guard_regression,fc_loop,2,True,False,True,2,1,get_transport_info|check_transport_cost|check_transport_cost,,get_transport_info|check_transport_cost|check_transport_cost,5642.6986,0.0003,,,False,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,25.5752,0.0000,,,False,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,34.9440,0.0000,,,False,,
H12,H_guard_regression,fc_loop,2,True,False,True,3,1,search_properties,,search_properties,8526.1423,0.0005,1.0000,,False,,
H13,H_guard_regression,fc_loop,2,True,True,True,3,1,search_properties,remember,search_properties|remember,5374.7783,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1742.5727,0.0001,,,False,,
H1,H_guard_regression,fc_loop,3,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,5365.1407,0.0001,,,False,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4055.6205,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,3,True,False,True,3,2,web_search|web_search,,web_search|web_search,10247.4000,0.0003,,,False,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,5247.2874,0.0004,1.0000,,False,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4835.3847,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,4295.6287,0.0003,,,False,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3512.6218,0.0001,,,False,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1152.4965,0.0000,,,False,,
H9,H_guard_regression,fc_loop,3,True,False,True,2,1,get_transport_info|check_transport_cost|check_transport_cost,,get_transport_info|check_transport_cost|check_transport_cost,4645.5760,0.0002,,,False,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,34.4327,0.0000,,,False,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,30.1500,0.0000,,,False,,
H12,H_guard_regression,fc_loop,3,True,False,True,4,2,recall_memory|search_properties,,recall_memory|search_properties,8801.6302,0.0006,1.0000,,False,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,4542.2958,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1603.3631,0.0001,,,False,,
